Titel;Album;Interpret;Jahr
I Forgot More Than You'll Ever Know;Self Portrait;Bob Dylan;1970
In Search Of Little Sadie;Self Portrait;Bob Dylan;1970
It Hurts Me Too;Self Portrait;Bob Dylan;1970
Let It Be Me;Self Portrait;Bob Dylan;1970
Like A Rolling Stone (live);Self Portrait;Bob Dylan;1970
Little Sadie;Self Portrait;Bob Dylan;1970
Living The Blues;Self Portrait;Bob Dylan;1970
Minstrel Boy (live);Self Portrait;Bob Dylan;1970
She Belongs To Me (live);Self Portrait;Bob Dylan;1970
Take A Message To Mary;Self Portrait;Bob Dylan;1970
Take Me As I Am;Self Portrait;Bob Dylan;1970
The Boxer;Self Portrait;Bob Dylan;1970
The Mighty Quinn (live);Self Portrait;Bob Dylan;1970
Wigwam;Self Portrait;Bob Dylan;1970
Woogie Boogie;Self Portrait;Bob Dylan;1970
Dead Man, Dead Man;Shot Of Love;Bob Dylan;1981
Every Grain Of Sand;Shot Of Love;Bob Dylan;1981
Heart Of Mine;Shot Of Love;Bob Dylan;1981
In The Summertime;Shot Of Love;Bob Dylan;1981
Lenny Bruce;Shot Of Love;Bob Dylan;1981
Property Of Jesus;Shot Of Love;Bob Dylan;1981
Shot Of Love;Shot Of Love;Bob Dylan;1981
The Groom's Still Waiting At The Altar;Shot Of Love;Bob Dylan;1981
Trouble;Shot Of Love;Bob Dylan;1981
Watered-Down Love;Shot Of Love;Bob Dylan;1981
Do Right To Me Baby;Slow Train Coming;Bob Dylan;1979
Gonna Change My Way Of Thinking;Slow Train Coming;Bob Dylan;1979
Gotta Serve Somebody;Slow Train Coming;Bob Dylan;1979
I Believe In You;Slow Train Coming;Bob Dylan;1979
Man Gave Names To All Animals;Slow Train Coming;Bob Dylan;1979
Precious Angel;Slow Train Coming;Bob Dylan;1979
Slow Train;Slow Train Coming;Bob Dylan;1979
When He Returns;Slow Train Coming;Bob Dylan;1979
When You Gonna Wake Up;Slow Train Coming;Bob Dylan;1979
Baby, Stop Crying;Street Legal;Bob Dylan;1978
Changing Of The Guards;Street Legal;Bob Dylan;1978
Is Your Love In Vain;Street Legal;Bob Dylan;1978
New Pony;Street Legal;Bob Dylan;1978
No Time To Think;Street Legal;Bob Dylan;1978
Senor;Street Legal;Bob Dylan;1978
True Love Tends To Forget;Street Legal;Bob Dylan;1978
We Better Talk This Over;Street Legal;Bob Dylan;1978
Where Are You Tonight;Street Legal;Bob Dylan;1978
Ain't No More Cane;The Basement Tapes;Bob Dylan;1975
Apple Sucking Tree;The Basement Tapes;Bob Dylan;1975
Bessie Smith;The Basement Tapes;Bob Dylan;1975
Clothes Line Saga;The Basement Tapes;Bob Dylan;1975
Crash On The Levee (Down In The Flood);The Basement Tapes;Bob Dylan;1975
Don't Ya Tell Henry;The Basement Tapes;Bob Dylan;1975
Goin' To Acapulco;The Basement Tapes;Bob Dylan;1975
Katie's Been Gone;The Basement Tapes;Bob Dylan;1975
Lo And Behold!;The Basement Tapes;Bob Dylan;1975
Long Distance Operator;The Basement Tapes;Bob Dylan;1975
Million Dollar Bash;The Basement Tapes;Bob Dylan;1975
Nothing Was Delivered;The Basement Tapes;Bob Dylan;1975
Odds And Ends;The Basement Tapes;Bob Dylan;1975
Open The Door, Homer;The Basement Tapes;Bob Dylan;1975
Orange Juice Blues (Blues For Breakfast);The Basement Tapes;Bob Dylan;1975
